property,algo,score,tag,className,name,id,href,alt,xpath.chrome,xpath.idxpath,location,dimension,visible_text,neighbour_text,type,aria-label,attributes
visible_text,levenshtein (option),38184.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
location,distanceManhattan,38376.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
neighbour_text,stringSet (option),38376.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceManhattan,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
type,equal (option),38376.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceManhattan,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
tag,jaroWinkler,38472.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceManhattan,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
aria-label,stringSet (option),38568.0,jaroWinkler,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceManhattan,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.chrome,equal,38664.0,jaroWinkler,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceManhattan,area,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
dimension,aspectRatio,39144.0,jaroWinkler,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),equal,levenshtein,distanceManhattan,area,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
name,equal (option),39144.0,jaroWinkler,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),equal,levenshtein,distanceManhattan,aspectRatio,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
alt,equal (option),39144.0,jaroWinkler,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),equal,levenshtein,distanceManhattan,aspectRatio,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
id,equal (option),39144.0,jaroWinkler,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),equal,levenshtein,distanceManhattan,aspectRatio,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
xpath.idxpath,equal,39144.0,jaroWinkler,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),equal,levenshtein,distanceManhattan,aspectRatio,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
attributes,intersectValueCompare,39144.0,jaroWinkler,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),equal,equal,distanceManhattan,aspectRatio,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
href,equal (option),39528.0,jaroWinkler,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),equal,equal,distanceManhattan,aspectRatio,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
className,stringSet (option),39720.0,jaroWinkler,levenshtein (option),equal (option),equal (option),equal (option),equal (option),equal,equal,distanceManhattan,aspectRatio,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
location,distanceManhattan,38376.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
alt,equal (option),38376.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceManhattan,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
className,stringSet (option),38568.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceManhattan,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.idxpath,equal,38568.0,equal,stringSet (option),equal (option),equal (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceManhattan,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
visible_text,levenshtein (option),38568.0,equal,stringSet (option),equal (option),equal (option),levenshtein (option),equal (option),levenshtein,equal,distanceManhattan,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.chrome,equal,38760.0,equal,stringSet (option),equal (option),equal (option),levenshtein (option),equal (option),levenshtein,equal,distanceManhattan,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
id,jaroWinkler (option),38784.0,equal,stringSet (option),equal (option),equal (option),levenshtein (option),equal (option),equal,equal,distanceManhattan,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
tag,jaroWinkler,38880.0,equal,stringSet (option),equal (option),jaroWinkler (option),levenshtein (option),equal (option),equal,equal,distanceManhattan,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
