score,tag,class,name,id,href,alt,type,aria-label,xpath.chrome,xpath.idxpath,isButton,location,dimension,visible_text,neighbour_text,attributes
358628.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.2,0.35,2.8,1.45,1.8,1
357860.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.2,0.0,2.8,1.45,1.8,2
358724.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.45,0.0,1.2,0.35,2.8,1.45,1.8,2
357956.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.45,0.0,1.2,0.0,2.8,1.45,1.8,3
358332.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.0,0.1,1.2,0.35,2.8,1.45,1.8,2
357588.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.0,0.1,1.2,0.0,2.8,1.45,1.8,3
358428.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.0,0.0,1.2,0.35,2.8,1.45,1.8,3
357684.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.0,0.0,1.2,0.0,2.8,1.45,1.8,4
358532.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.0,0.45,0.1,1.2,0.35,2.8,1.45,1.8,2
357860.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.0,0.45,0.1,1.2,0.0,2.8,1.45,1.8,3
358628.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.0,0.45,0.0,1.2,0.35,2.8,1.45,1.8,3
357956.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.0,0.45,0.0,1.2,0.0,2.8,1.45,1.8,4
358172.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.0,0.0,0.1,1.2,0.35,2.8,1.45,1.8,3
357588.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.0,0.0,0.1,1.2,0.0,2.8,1.45,1.8,4
358340.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.0,0.0,0.0,1.2,0.35,2.8,1.45,1.8,4
357684.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.0,0.0,0.0,1.2,0.0,2.8,1.45,1.8,5
357992.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.1,0.45,0.1,1.2,0.35,2.8,1.45,1.8,2
357416.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.1,0.45,0.1,1.2,0.0,2.8,1.45,1.8,3
358088.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.1,0.45,0.0,1.2,0.35,2.8,1.45,1.8,3
