tag,class,score
0.0,0.0,344372.0
0.0,0.05,345104.0
0.0,0.1,345308.0
0.0,0.15,345548.0
0.0,0.2,345620.0
0.0,0.25,345980.0
0.0,0.3,346220.0
0.0,0.35,346604.0
0.0,0.4,346604.0
0.0,0.45,346676.0
0.0,0.5,346676.0
0.0,0.55,346676.0
0.0,0.6,346676.0
0.0,0.65,346964.0
0.0,0.7,347012.0
0.0,0.75,346916.0
0.0,0.8,346916.0
0.0,0.85,346916.0
0.0,0.9,346916.0
0.0,0.95,346916.0
0.0,1.0,346820.0
0.0,1.05,346916.0
0.0,1.1,346724.0
0.0,1.15,346820.0
0.0,1.2,346820.0
0.0,1.25,346724.0
0.0,1.3,346628.0
0.0,1.35,346724.0
0.0,1.4,346532.0
0.0,1.45,346532.0
0.0,1.5,346244.0
0.0,1.55,346340.0
0.0,1.6,346340.0
0.0,1.65,346316.0
0.0,1.7,346388.0
0.0,1.75,346388.0
0.0,1.8,346388.0
0.0,1.85,346244.0
0.0,1.9,346148.0
0.0,1.95,346124.0
0.0,2.0,345932.0
0.0,2.05,345740.0
0.0,2.1,345716.0
0.0,2.15,345812.0
0.0,2.2,345404.0
0.0,2.25,345380.0
0.0,2.3,345476.0
0.0,2.35,345476.0
0.0,2.4,345476.0
0.0,2.45,345284.0
0.0,2.5,345284.0
0.0,2.55,345284.0
0.0,2.6,345164.0
0.0,2.65,345052.0
0.0,2.7,344956.0
0.0,2.75,344764.0
0.0,2.8,344700.0
0.0,2.85,344700.0
0.0,2.9,344604.0
0.0,2.95,344484.0
0.0,3.0,344292.0
0.05,0.0,348704.0
0.05,0.05,348992.0
0.05,0.1,349136.0
0.05,0.15,348920.0
0.05,0.2,348248.0
0.05,0.25,348548.0
0.05,0.3,348932.0
0.05,0.35,348932.0
0.05,0.4,348836.0
0.05,0.45,348932.0
0.05,0.5,348740.0
0.05,0.55,348836.0
0.05,0.6,348860.0
0.05,0.65,348956.0
0.05,0.7,348860.0
0.05,0.75,348668.0
0.05,0.8,348668.0
0.05,0.85,348596.0
0.05,0.9,348596.0
0.05,0.95,348644.0
0.05,1.0,348716.0
0.05,1.05,348644.0
0.05,1.1,348548.0
0.05,1.15,348644.0
0.05,1.2,348644.0
0.05,1.25,348572.0
0.05,1.3,348476.0
0.05,1.35,348572.0
0.05,1.4,348380.0
0.05,1.45,348380.0
0.05,1.5,348092.0
0.05,1.55,347900.0
0.05,1.6,347804.0
0.05,1.65,347804.0
0.05,1.7,347804.0
0.05,1.75,347708.0
0.05,1.8,347708.0
0.05,1.85,347612.0
0.05,1.9,347516.0
0.05,1.95,347492.0
0.05,2.0,347444.0
0.05,2.05,347444.0
0.05,2.1,347540.0
0.05,2.15,347444.0
0.05,2.2,347156.0
0.05,2.25,346964.0
0.05,2.3,346964.0
0.05,2.35,346772.0
0.05,2.4,346772.0
0.05,2.45,346772.0
0.05,2.5,346580.0
0.05,2.55,346388.0
0.05,2.6,346388.0
0.05,2.65,346388.0
0.05,2.7,346292.0
0.05,2.75,346292.0
0.05,2.8,346276.0
0.05,2.85,346084.0
0.05,2.9,346084.0
0.05,2.95,345940.0
0.05,3.0,345828.0
0.1,0.0,349952.0
0.1,0.05,350552.0
0.1,0.1,350744.0
0.1,0.15,350912.0
0.1,0.2,351056.0
0.1,0.25,351224.0
0.1,0.3,351248.0
0.1,0.35,351320.0
0.1,0.4,351032.0
0.1,0.45,350036.0
0.1,0.5,349748.0
0.1,0.55,349844.0
0.1,0.6,349844.0
0.1,0.65,349940.0
0.1,0.7,349940.0
0.1,0.75,349748.0
0.1,0.8,349748.0
0.1,0.85,349868.0
0.1,0.9,349868.0
0.1,0.95,349964.0
0.1,1.0,349964.0
0.1,1.05,350060.0
0.1,1.1,350156.0
0.1,1.15,350060.0
0.1,1.2,349796.0
0.1,1.25,349652.0
0.1,1.3,349556.0
0.1,1.35,349556.0
0.1,1.4,349460.0
0.1,1.45,349364.0
0.1,1.5,349172.0
0.1,1.55,349076.0
0.1,1.6,348788.0
0.1,1.65,348596.0
0.1,1.7,348596.0
0.1,1.75,348428.0
0.1,1.8,348428.0
0.1,1.85,348428.0
0.1,1.9,348428.0
0.1,1.95,348308.0
0.1,2.0,348500.0
0.1,2.05,348404.0
0.1,2.1,348308.0
0.1,2.15,348260.0
0.1,2.2,348092.0
0.1,2.25,348092.0
0.1,2.3,347804.0
0.1,2.35,347516.0
0.1,2.4,347420.0
0.1,2.45,347420.0
0.1,2.5,347420.0
0.1,2.55,347060.0
0.1,2.6,347060.0
0.1,2.65,347060.0
0.1,2.7,347060.0
0.1,2.75,346964.0
0.1,2.8,346868.0
0.1,2.85,346964.0
0.1,2.9,346964.0
0.1,2.95,346852.0
0.1,3.0,346852.0
0.15,0.0,351296.0
0.15,0.05,351296.0
0.15,0.1,351392.0
0.15,0.15,351704.0
0.15,0.2,351800.0
0.15,0.25,351704.0
0.15,0.3,351776.0
0.15,0.35,351968.0
0.15,0.4,351968.0
0.15,0.45,351896.0
0.15,0.5,351896.0
0.15,0.55,351896.0
0.15,0.6,351992.0
0.15,0.65,351764.0
0.15,0.7,351284.0
0.15,0.75,350516.0
0.15,0.8,350612.0
0.15,0.85,350516.0
0.15,0.9,350708.0
0.15,0.95,350708.0
0.15,1.0,350708.0
0.15,1.05,350708.0
0.15,1.1,350612.0
0.15,1.15,350612.0
0.15,1.2,350516.0
0.15,1.25,350420.0
0.15,1.3,350060.0
0.15,1.35,350060.0
0.15,1.4,349964.0
0.15,1.45,349964.0
0.15,1.5,349772.0
0.15,1.55,349724.0
0.15,1.6,349532.0
0.15,1.65,349148.0
0.15,1.7,349148.0
0.15,1.75,349076.0
0.15,1.8,348980.0
0.15,1.85,348980.0
0.15,1.9,349172.0
0.15,1.95,349148.0
0.15,2.0,349052.0
0.15,2.05,349052.0
0.15,2.1,349052.0
0.15,2.15,348956.0
0.15,2.2,348764.0
0.15,2.25,348764.0
0.15,2.3,348668.0
0.15,2.35,348140.0
0.15,2.4,348140.0
0.15,2.45,348044.0
0.15,2.5,347948.0
0.15,2.55,347852.0
0.15,2.6,347660.0
0.15,2.65,347588.0
0.15,2.7,347684.0
0.15,2.75,347684.0
0.15,2.8,347588.0
0.15,2.85,347588.0
0.15,2.9,347588.0
0.15,2.95,347588.0
0.15,3.0,347588.0
0.2,0.0,351488.0
0.2,0.05,351632.0
0.2,0.1,351920.0
0.2,0.15,352184.0
0.2,0.2,352184.0
0.2,0.25,352544.0
0.2,0.3,352544.0
0.2,0.35,352352.0
0.2,0.4,352160.0
0.2,0.45,352160.0
0.2,0.5,352064.0
0.2,0.55,352160.0
0.2,0.6,352280.0
0.2,0.65,352472.0
0.2,0.7,352472.0
0.2,0.75,352376.0
0.2,0.8,352340.0
0.2,0.85,352340.0
0.2,0.9,352148.0
0.2,0.95,351764.0
0.2,1.0,350996.0
0.2,1.05,350996.0
0.2,1.1,350804.0
0.2,1.15,350804.0
0.2,1.2,350804.0
0.2,1.25,350804.0
0.2,1.3,350612.0
0.2,1.35,350516.0
0.2,1.4,350324.0
0.2,1.45,350228.0
0.2,1.5,350036.0
0.2,1.55,349940.0
0.2,1.6,349844.0
0.2,1.65,349748.0
0.2,1.7,349556.0
0.2,1.75,349580.0
0.2,1.8,349628.0
0.2,1.85,349628.0
0.2,1.9,349532.0
0.2,1.95,349604.0
0.2,2.0,349508.0
0.2,2.05,349316.0
0.2,2.1,349220.0
0.2,2.15,349124.0
0.2,2.2,349028.0
0.2,2.25,349028.0
0.2,2.3,349028.0
0.2,2.35,348764.0
0.2,2.4,348476.0
0.2,2.45,348476.0
0.2,2.5,348428.0
0.2,2.55,348332.0
0.2,2.6,348428.0
0.2,2.65,348236.0
0.2,2.7,348140.0
0.2,2.75,348044.0
0.2,2.8,348044.0
0.2,2.85,348044.0
0.2,2.9,347852.0
0.2,2.95,347756.0
0.2,3.0,347756.0
0.25,0.0,352016.0
0.25,0.05,352208.0
0.25,0.1,352496.0
0.25,0.15,352640.0
0.25,0.2,352640.0
0.25,0.25,352736.0
0.25,0.3,352928.0
0.25,0.35,352832.0
0.25,0.4,352832.0
0.25,0.45,353024.0
0.25,0.5,352640.0
0.25,0.55,352640.0
0.25,0.6,352832.0
0.25,0.65,353024.0
0.25,0.7,352952.0
0.25,0.75,352664.0
0.25,0.8,352568.0
0.25,0.85,352568.0
0.25,0.9,352568.0
0.25,0.95,352568.0
0.25,1.0,352532.0
0.25,1.05,352532.0
0.25,1.1,352532.0
0.25,1.15,352532.0
0.25,1.2,352244.0
0.25,1.25,351284.0
0.25,1.3,351092.0
0.25,1.35,350996.0
0.25,1.4,350612.0
0.25,1.45,350612.0
0.25,1.5,350324.0
0.25,1.55,350324.0
0.25,1.6,350132.0
0.25,1.65,350228.0
0.25,1.7,350228.0
0.25,1.75,350036.0
0.25,1.8,349940.0
0.25,1.85,350036.0
0.25,1.9,350036.0
0.25,1.95,350012.0
0.25,2.0,350012.0
0.25,2.05,349820.0
0.25,2.1,349676.0
0.25,2.15,349580.0
0.25,2.2,349412.0
0.25,2.25,349412.0
0.25,2.3,349412.0
0.25,2.35,349220.0
0.25,2.4,349220.0
0.25,2.45,349028.0
0.25,2.5,349028.0
0.25,2.55,348932.0
0.25,2.6,348836.0
0.25,2.65,348788.0
0.25,2.7,348596.0
0.25,2.75,348500.0
0.25,2.8,348500.0
0.25,2.85,348404.0
0.25,2.9,348332.0
0.25,2.95,348236.0
0.25,3.0,348236.0
0.3,0.0,352472.0
0.3,0.05,352568.0
0.3,0.1,352832.0
0.3,0.15,352904.0
0.3,0.2,352904.0
0.3,0.25,353384.0
0.3,0.3,353480.0
0.3,0.35,353480.0
0.3,0.4,353384.0
0.3,0.45,353192.0
0.3,0.5,353096.0
0.3,0.55,353096.0
0.3,0.6,353000.0
0.3,0.65,353192.0
0.3,0.7,353192.0
0.3,0.75,353000.0
0.3,0.8,353000.0
0.3,0.85,352928.0
0.3,0.9,352832.0
0.3,0.95,352832.0
0.3,1.0,352832.0
0.3,1.05,352832.0
0.3,1.1,352832.0
0.3,1.15,352700.0
0.3,1.2,352700.0
0.3,1.25,352700.0
0.3,1.3,352508.0
0.3,1.35,352508.0
0.3,1.4,352316.0
0.3,1.45,351932.0
0.3,1.5,351452.0
0.3,1.55,350876.0
0.3,1.6,350780.0
0.3,1.65,350588.0
0.3,1.7,350588.0
0.3,1.75,350492.0
0.3,1.8,350396.0
0.3,1.85,350396.0
0.3,1.9,350396.0
0.3,1.95,350300.0
0.3,2.0,350300.0
0.3,2.05,350204.0
0.3,2.1,350204.0
0.3,2.15,349916.0
0.3,2.2,349724.0
0.3,2.25,349724.0
0.3,2.3,349820.0
0.3,2.35,349628.0
0.3,2.4,349580.0
0.3,2.45,349580.0
0.3,2.5,349292.0
0.3,2.55,349196.0
0.3,2.6,349196.0
0.3,2.65,349124.0
0.3,2.7,349124.0
0.3,2.75,348932.0
0.3,2.8,348932.0
0.3,2.85,348884.0
0.3,2.9,348884.0
0.3,2.95,348884.0
0.3,3.0,348788.0
0.35,0.0,352736.0
0.35,0.05,353096.0
0.35,0.1,353192.0
0.35,0.15,353552.0
0.35,0.2,353552.0
0.35,0.25,353744.0
0.35,0.3,353840.0
0.35,0.35,353936.0
0.35,0.4,353936.0
0.35,0.45,353744.0
0.35,0.5,353456.0
0.35,0.55,353456.0
0.35,0.6,353552.0
0.35,0.65,353744.0
0.35,0.7,353552.0
0.35,0.75,353264.0
0.35,0.8,353264.0
0.35,0.85,353264.0
0.35,0.9,353264.0
0.35,0.95,353168.0
0.35,1.0,353096.0
0.35,1.05,353096.0
0.35,1.1,353096.0
0.35,1.15,353000.0
0.35,1.2,353000.0
0.35,1.25,353000.0
0.35,1.3,352904.0
0.35,1.35,352868.0
0.35,1.4,352868.0
0.35,1.45,352772.0
0.35,1.5,352484.0
0.35,1.55,352580.0
0.35,1.6,352484.0
0.35,1.65,352484.0
0.35,1.7,352196.0
0.35,1.75,351812.0
0.35,1.8,350948.0
0.35,1.85,350756.0
0.35,1.9,350660.0
0.35,1.95,350660.0
0.35,2.0,350660.0
0.35,2.05,350564.0
0.35,2.1,350564.0
0.35,2.15,350564.0
0.35,2.2,350372.0
0.35,2.25,350372.0
0.35,2.3,350276.0
0.35,2.35,349988.0
0.35,2.4,349988.0
0.35,2.45,349988.0
0.35,2.5,349892.0
0.35,2.55,349508.0
0.35,2.6,349508.0
0.35,2.65,349460.0
0.35,2.7,349556.0
0.35,2.75,349556.0
0.35,2.8,349364.0
0.35,2.85,349364.0
0.35,2.9,349364.0
0.35,2.95,349364.0
0.35,3.0,349316.0
0.4,0.0,353192.0
0.4,0.05,353288.0
0.4,0.1,353576.0
0.4,0.15,353744.0
0.4,0.2,353840.0
0.4,0.25,354032.0
0.4,0.3,354128.0
0.4,0.35,354128.0
0.4,0.4,354128.0
0.4,0.45,354128.0
0.4,0.5,353840.0
0.4,0.55,353744.0
0.4,0.6,353744.0
0.4,0.65,353936.0
0.4,0.7,353936.0
0.4,0.75,353744.0
0.4,0.8,353552.0
0.4,0.85,353552.0
0.4,0.9,353552.0
0.4,0.95,353552.0
0.4,1.0,353456.0
0.4,1.05,353264.0
0.4,1.1,353264.0
0.4,1.15,353192.0
0.4,1.2,353192.0
0.4,1.25,353192.0
0.4,1.3,353192.0
0.4,1.35,353192.0
0.4,1.4,353096.0
0.4,1.45,353192.0
0.4,1.5,352964.0
0.4,1.55,352868.0
0.4,1.6,352868.0
0.4,1.65,352868.0
0.4,1.7,352868.0
0.4,1.75,352772.0
0.4,1.8,352676.0
0.4,1.85,352580.0
0.4,1.9,352292.0
0.4,1.95,352292.0
0.4,2.0,352100.0
0.4,2.05,351044.0
0.4,2.1,351044.0
0.4,2.15,350852.0
0.4,2.2,350756.0
0.4,2.25,350660.0
0.4,2.3,350660.0
0.4,2.35,350372.0
0.4,2.4,350372.0
0.4,2.45,350372.0
0.4,2.5,350372.0
0.4,2.55,350276.0
0.4,2.6,349988.0
0.4,2.65,349988.0
0.4,2.7,349988.0
0.4,2.75,349892.0
0.4,2.8,349892.0
0.4,2.85,349604.0
0.4,2.9,349604.0
0.4,2.95,349556.0
0.4,3.0,349556.0
0.45,0.0,353192.0
0.45,0.05,353480.0
0.45,0.1,353672.0
0.45,0.15,353840.0
0.45,0.2,353840.0
0.45,0.25,354032.0
0.45,0.3,354128.0
0.45,0.35,354128.0
0.45,0.4,354128.0
0.45,0.45,354128.0
0.45,0.5,353936.0
0.45,0.55,353840.0
0.45,0.6,353840.0
0.45,0.65,354032.0
0.45,0.7,354032.0
0.45,0.75,353744.0
0.45,0.8,353744.0
0.45,0.85,353744.0
0.45,0.9,353552.0
0.45,0.95,353456.0
0.45,1.0,353456.0
0.45,1.05,353456.0
0.45,1.1,353360.0
0.45,1.15,353456.0
0.45,1.2,353456.0
0.45,1.25,353360.0
0.45,1.3,353192.0
0.45,1.35,353288.0
0.45,1.4,353192.0
0.45,1.45,353192.0
0.45,1.5,353288.0
0.45,1.55,353192.0
0.45,1.6,353000.0
0.45,1.65,353000.0
0.45,1.7,352964.0
0.45,1.75,352964.0
0.45,1.8,352868.0
0.45,1.85,352964.0
0.45,1.9,352772.0
0.45,1.95,352580.0
0.45,2.0,352580.0
0.45,2.05,352484.0
0.45,2.1,352484.0
0.45,2.15,352388.0
0.45,2.2,352292.0
0.45,2.25,351908.0
0.45,2.3,351332.0
0.45,2.35,350564.0
0.45,2.4,350564.0
0.45,2.45,350372.0
0.45,2.5,350372.0
0.45,2.55,350276.0
0.45,2.6,350276.0
0.45,2.65,349988.0
0.45,2.7,349988.0
0.45,2.75,349988.0
0.45,2.8,349988.0
0.45,2.85,349988.0
0.45,2.9,349796.0
0.45,2.95,349748.0
0.45,3.0,349748.0
0.5,0.0,353384.0
0.5,0.05,353480.0
0.5,0.1,353672.0
0.5,0.15,353840.0
0.5,0.2,353840.0
0.5,0.25,354032.0
0.5,0.3,354128.0
0.5,0.35,354128.0
0.5,0.4,354128.0
0.5,0.45,354128.0
0.5,0.5,353936.0
0.5,0.55,353936.0
0.5,0.6,353936.0
0.5,0.65,354032.0
0.5,0.7,354032.0
0.5,0.75,353840.0
0.5,0.8,353744.0
0.5,0.85,353744.0
0.5,0.9,353744.0
0.5,0.95,353744.0
0.5,1.0,353552.0
0.5,1.05,353648.0
0.5,1.1,353648.0
0.5,1.15,353648.0
0.5,1.2,353552.0
0.5,1.25,353648.0
0.5,1.3,353552.0
0.5,1.35,353552.0
0.5,1.4,353480.0
0.5,1.45,353480.0
0.5,1.5,353288.0
0.5,1.55,353288.0
0.5,1.6,353096.0
0.5,1.65,353000.0
0.5,1.7,353096.0
0.5,1.75,353096.0
0.5,1.8,353096.0
0.5,1.85,353000.0
0.5,1.9,352964.0
0.5,1.95,352868.0
0.5,2.0,352580.0
0.5,2.05,352484.0
0.5,2.1,352484.0
0.5,2.15,352388.0
0.5,2.2,352292.0
0.5,2.25,352292.0
0.5,2.3,352196.0
0.5,2.35,352004.0
0.5,2.4,352004.0
0.5,2.45,352004.0
0.5,2.5,351812.0
0.5,2.55,351236.0
0.5,2.6,350468.0
0.5,2.65,350372.0
0.5,2.7,349988.0
0.5,2.75,349988.0
0.5,2.8,349988.0
0.5,2.85,349988.0
0.5,2.9,349988.0
0.5,2.95,349748.0
0.5,3.0,349652.0
0.55,0.0,353672.0
0.55,0.05,353768.0
0.55,0.1,353960.0
0.55,0.15,354128.0
0.55,0.2,354128.0
0.55,0.25,354320.0
0.55,0.3,354512.0
0.55,0.35,354512.0
0.55,0.4,354416.0
0.55,0.45,354416.0
0.55,0.5,354224.0
0.55,0.55,354224.0
0.55,0.6,354320.0
0.55,0.65,354416.0
0.55,0.7,354320.0
0.55,0.75,354128.0
0.55,0.8,354128.0
0.55,0.85,354128.0
0.55,0.9,354224.0
0.55,0.95,354224.0
0.55,1.0,354224.0
0.55,1.05,354128.0
0.55,1.1,353936.0
0.55,1.15,354032.0
0.55,1.2,354032.0
0.55,1.25,354032.0
0.55,1.3,353840.0
0.55,1.35,353936.0
0.55,1.4,353840.0
0.55,1.45,353840.0
0.55,1.5,353744.0
0.55,1.55,353672.0
0.55,1.6,353672.0
0.55,1.65,353576.0
0.55,1.7,353480.0
0.55,1.75,353288.0
0.55,1.8,353288.0
0.55,1.85,353288.0
0.55,1.9,353192.0
0.55,1.95,353192.0
0.55,2.0,353096.0
0.55,2.05,352772.0
0.55,2.1,352676.0
0.55,2.15,352580.0
0.55,2.2,352484.0
0.55,2.25,352484.0
0.55,2.3,352388.0
0.55,2.35,352196.0
0.55,2.4,352196.0
0.55,2.45,352196.0
0.55,2.5,352196.0
0.55,2.55,352100.0
0.55,2.6,352100.0
0.55,2.65,352004.0
0.55,2.7,352004.0
0.55,2.75,351716.0
0.55,2.8,351428.0
0.55,2.85,350468.0
0.55,2.9,350276.0
0.55,2.95,350132.0
0.55,3.0,349844.0
0.6,0.0,353744.0
0.6,0.05,353840.0
0.6,0.1,354032.0
0.6,0.15,354200.0
0.6,0.2,354200.0
0.6,0.25,354392.0
0.6,0.3,354416.0
0.6,0.35,354416.0
0.6,0.4,354416.0
0.6,0.45,354416.0
0.6,0.5,354224.0
0.6,0.55,354224.0
0.6,0.6,354320.0
0.6,0.65,354512.0
0.6,0.7,354416.0
0.6,0.75,354128.0
0.6,0.8,354224.0
0.6,0.85,354224.0
0.6,0.9,354224.0
0.6,0.95,354224.0
0.6,1.0,354224.0
0.6,1.05,354224.0
0.6,1.1,354320.0
0.6,1.15,354320.0
0.6,1.2,354032.0
0.6,1.25,354128.0
0.6,1.3,354032.0
0.6,1.35,353936.0
0.6,1.4,353840.0
0.6,1.45,353936.0
0.6,1.5,353840.0
0.6,1.55,353840.0
0.6,1.6,353744.0
0.6,1.65,353744.0
0.6,1.7,353576.0
0.6,1.75,353384.0
0.6,1.8,353384.0
0.6,1.85,353384.0
0.6,1.9,353384.0
0.6,1.95,353288.0
0.6,2.0,353192.0
0.6,2.05,353000.0
0.6,2.1,352808.0
0.6,2.15,352712.0
0.6,2.2,352520.0
0.6,2.25,352484.0
0.6,2.3,352388.0
0.6,2.35,352196.0
0.6,2.4,352196.0
0.6,2.45,352196.0
0.6,2.5,352196.0
0.6,2.55,352100.0
0.6,2.6,352100.0
0.6,2.65,352100.0
0.6,2.7,352004.0
0.6,2.75,352004.0
0.6,2.8,351620.0
0.6,2.85,351620.0
0.6,2.9,351620.0
0.6,2.95,351572.0
0.6,3.0,351572.0
0.65,0.0,353744.0
0.65,0.05,353840.0
0.65,0.1,354032.0
0.65,0.15,354200.0
0.65,0.2,354200.0
0.65,0.25,354392.0
0.65,0.3,354488.0
0.65,0.35,354488.0
0.65,0.4,354488.0
0.65,0.45,354488.0
0.65,0.5,354296.0
