generation,best_fitness,1,2,3,4,5,6,7,8,9,10,11,12
1,357184.0,[[[32]],[[53]],[[12]],[[38]],[[56]],[[15]],[[9]],[[36]],[[8]],[[59]],[[24]],[[53]]] -> 357184.0
2,357316.0,[[[15]],[[8]],[[31]],[[18]],[[58]],[[52]],[[11]],[[34]],[[24]],[[53]],[[37]],[[59]]] -> 357316.0
3,357376.0,[[[32]],[[53]],[[12]],[[38]],[[56]],[[15]],[[9]],[[36]],[[11]],[[59]],[[24]],[[53]]] -> 357376.0
4,357388.0,[[[15]],[[8]],[[31]],[[15]],[[58]],[[52]],[[28]],[[34]],[[24]],[[53]],[[37]],[[59]]] -> 357388.0
5,357496.0,[[[33]],[[45]],[[30]],[[38]],[[24]],[[33]],[[28]],[[40]],[[31]],[[49]],[[38]],[[56]]] -> 357496.0
6,357568.0,[[[32]],[[53]],[[40]],[[15]],[[56]],[[15]],[[9]],[[36]],[[23]],[[59]],[[37]],[[53]]] -> 357568.0
7,357920.0,[[[32]],[[53]],[[15]],[[15]],[[17]],[[15]],[[9]],[[21]],[[11]],[[59]],[[41]],[[53]]] -> 357920.0
8,357920.0,[[[32]],[[53]],[[15]],[[15]],[[17]],[[15]],[[9]],[[21]],[[11]],[[59]],[[41]],[[53]]] -> 357920.0
9,357960.0,[[[32]],[[30]],[[15]],[[38]],[[49]],[[15]],[[3]],[[21]],[[11]],[[59]],[[41]],[[48]]] -> 357960.0
10,357960.0,[[[32]],[[30]],[[15]],[[38]],[[49]],[[15]],[[3]],[[21]],[[11]],[[59]],[[41]],[[48]]] -> 357960.0
11,358196.0,[[[17]],[[53]],[[15]],[[15]],[[17]],[[15]],[[9]],[[21]],[[11]],[[59]],[[41]],[[53]]] -> 358196.0
12,358196.0,[[[17]],[[53]],[[15]],[[15]],[[17]],[[15]],[[9]],[[21]],[[11]],[[59]],[[41]],[[53]]] -> 358196.0
13,358196.0,[[[17]],[[53]],[[15]],[[15]],[[17]],[[15]],[[9]],[[21]],[[11]],[[59]],[[41]],[[53]]] -> 358196.0
14,358196.0,[[[17]],[[53]],[[15]],[[15]],[[17]],[[15]],[[9]],[[21]],[[11]],[[59]],[[41]],[[53]]] -> 358196.0
15,358356.0,[[[17]],[[53]],[[15]],[[15]],[[28]],[[15]],[[8]],[[21]],[[11]],[[59]],[[41]],[[48]]] -> 358356.0
16,358356.0,[[[17]],[[53]],[[15]],[[15]],[[28]],[[15]],[[8]],[[21]],[[11]],[[59]],[[41]],[[48]]] -> 358356.0
17,358388.0,[[[17]],[[53]],[[15]],[[15]],[[17]],[[15]],[[9]],[[21]],[[11]],[[59]],[[41]],[[48]]] -> 358388.0
18,358388.0,[[[17]],[[53]],[[15]],[[15]],[[17]],[[15]],[[9]],[[21]],[[11]],[[59]],[[41]],[[48]]] -> 358388.0
19,358388.0,[[[17]],[[53]],[[15]],[[15]],[[17]],[[15]],[[9]],[[21]],[[11]],[[59]],[[41]],[[48]]] -> 358388.0
20,358388.0,[[[17]],[[53]],[[15]],[[15]],[[17]],[[15]],[[9]],[[21]],[[11]],[[59]],[[41]],[[48]]] -> 358388.0
21,358388.0,[[[17]],[[53]],[[15]],[[15]],[[17]],[[15]],[[9]],[[21]],[[11]],[[59]],[[41]],[[48]]] -> 358388.0
22,358388.0,[[[17]],[[53]],[[15]],[[15]],[[17]],[[15]],[[9]],[[21]],[[11]],[[59]],[[41]],[[48]]] -> 358388.0
23,358388.0,[[[17]],[[53]],[[15]],[[15]],[[17]],[[15]],[[9]],[[21]],[[11]],[[59]],[[41]],[[48]]] -> 358388.0
24,358388.0,[[[17]],[[53]],[[15]],[[15]],[[17]],[[15]],[[9]],[[21]],[[11]],[[59]],[[41]],[[48]]] -> 358388.0
25,358404.0,[[[17]],[[53]],[[15]],[[15]],[[12]],[[15]],[[9]],[[22]],[[11]],[[59]],[[41]],[[39]]] -> 358404.0
26,358404.0,[[[17]],[[53]],[[15]],[[15]],[[12]],[[15]],[[9]],[[22]],[[11]],[[59]],[[41]],[[39]]] -> 358404.0
27,358500.0,[[[17]],[[51]],[[15]],[[15]],[[17]],[[15]],[[9]],[[21]],[[11]],[[59]],[[33]],[[40]]] -> 358500.0
28,358500.0,[[[17]],[[51]],[[15]],[[15]],[[17]],[[15]],[[9]],[[21]],[[11]],[[59]],[[33]],[[40]]] -> 358500.0
29,358596.0,[[[17]],[[53]],[[15]],[[15]],[[28]],[[15]],[[9]],[[22]],[[11]],[[59]],[[34]],[[39]]] -> 358596.0
30,358596.0,[[[17]],[[53]],[[15]],[[15]],[[28]],[[15]],[[9]],[[22]],[[11]],[[59]],[[34]],[[39]]] -> 358596.0
31,358596.0,[[[17]],[[53]],[[15]],[[15]],[[28]],[[15]],[[9]],[[22]],[[11]],[[59]],[[34]],[[39]]] -> 358596.0
32,358596.0,[[[17]],[[53]],[[15]],[[15]],[[28]],[[15]],[[9]],[[22]],[[11]],[[59]],[[34]],[[39]]] -> 358596.0
33,358596.0,[[[17]],[[53]],[[15]],[[15]],[[28]],[[15]],[[9]],[[22]],[[11]],[[59]],[[34]],[[39]]] -> 358596.0
34,358596.0,[[[17]],[[53]],[[15]],[[15]],[[28]],[[15]],[[9]],[[22]],[[11]],[[59]],[[34]],[[39]]] -> 358596.0
