generation,fitness,tag,class,name,id,href,alt,type,aria-label,xpath.chrome,xpath.idxpath,isButton,location,dimension,visible_text,neighbour_text,attributes
1,39720.0,2.0,1.75,2.90,0.65,1.15,2.90,0.5,2.15,1.45,0.75,2.25,1.05,1.45,2.25,2.2,2.80
2,39720.0,2.0,1.75,2.90,0.65,1.15,2.90,0.5,2.15,1.45,0.75,2.25,1.05,1.45,2.25,2.2,2.80
3,39936.0,0.65,0.0,0.85,2.2,0.75,1.55,0.75,1.5,1.55,1.1,0.1,1.0,0.9,2.7,2.95,2.05
4,39936.0,0.65,0.0,0.85,2.2,0.75,1.55,0.75,1.5,1.55,1.1,0.1,1.0,0.9,2.7,2.95,2.05
5,39936.0,0.65,0.0,0.85,2.2,0.75,1.55,0.75,1.5,1.55,1.1,0.1,1.0,0.9,2.7,2.95,2.05
6,40224.0,0.5,0.25,0.85,2.2,0.75,1.55,0.75,1.85,1.55,0.75,0.1,1.0,0.9,2.7,2.2,2.05
7,40368.0,2.0,0.0,1.1,2.2,0.75,1.55,0.55,1.5,1.55,0.85,0.1,1.0,0.9,2.7,2.95,2.05
8,40368.0,1.20,1.1,2.95,2.2,0.75,1.55,2.30,1.85,1.70,0.75,0.1,2.25,0.9,2.7,2.2,2.05
9,40560.0,2.0,1.75,1.1,2.2,0.75,1.55,0.55,1.5,1.55,0.85,0.1,1.55,0.9,2.7,2.95,2.05
10,40560.0,2.0,1.75,1.1,2.2,0.75,1.55,0.55,1.5,1.55,0.85,0.1,1.55,0.9,2.7,2.95,2.05
11,40560.0,2.0,1.75,1.1,2.2,0.75,1.55,0.55,1.5,1.55,0.85,0.1,1.55,0.9,2.7,2.95,2.05
12,40560.0,2.0,1.75,1.1,2.2,0.75,1.55,0.55,1.5,1.55,0.85,0.1,1.55,0.9,2.7,2.95,2.05
13,40656.0,2.0,0.0,1.1,2.2,1.95,1.55,0.75,1.5,1.55,0.85,0.1,1.3,0.9,2.7,2.95,2.05
14,40656.0,1.20,1.1,2.25,2.40,0.75,0.70,2.30,1.15,1.70,0.75,0.1,1.20,0.9,2.7,2.2,2.1
15,40656.0,2.0,0.0,1.1,2.2,1.95,1.55,0.75,1.5,1.55,0.85,0.1,1.3,0.9,2.7,2.95,2.05
16,40752.0,2.0,0.0,2.1,2.2,1.95,1.75,1.85,1.5,1.55,0.85,0.1,1.3,0.9,2.7,2.95,2.6
17,40752.0,2.0,0.95,1.1,2.2,1.25,1.55,1.25,1.5,1.55,0.85,0.1,1.40,0.9,2.7,2.95,2.05
18,40752.0,2.0,0.95,1.1,2.2,1.25,1.55,1.25,1.5,1.55,0.85,0.1,1.40,0.9,2.7,2.95,2.05
19,40752.0,2.0,0.95,1.1,2.2,1.25,1.55,1.25,1.5,1.55,0.85,0.1,1.40,0.9,2.7,2.95,2.05
20,40752.0,2.0,0.95,1.1,2.2,1.25,1.55,1.25,1.5,1.55,0.85,0.1,1.40,0.9,2.7,2.95,2.05
21,40848.0,1.65,0.95,2.80,2.6,1.25,1.55,1.25,1.5,1.55,0.85,0.1,1.40,0.9,2.7,2.95,1.8
22,40752.0,2.0,0.0,1.1,2.2,1.25,1.55,1.25,1.5,1.55,0.85,0.1,1.40,0.9,2.7,2.95,2.05
23,40848.0,1.65,0.0,1.1,2.2,0.75,1.55,0.75,1.5,1.55,0.85,0.2,1.3,0.9,2.7,2.95,2.05
24,40848.0,1.65,0.0,1.1,2.2,0.75,1.55,0.75,1.5,1.55,0.85,0.2,1.3,0.9,2.7,2.95,2.05
25,40848.0,1.65,0.0,1.1,2.2,0.75,1.55,0.75,1.5,1.55,0.85,0.2,1.3,0.9,2.7,2.95,2.05
26,40848.0,1.65,0.0,1.1,2.2,0.75,1.55,0.75,1.5,1.55,0.85,0.2,1.3,0.9,2.7,2.95,2.05
27,40848.0,1.65,0.0,1.1,2.2,0.75,1.55,0.75,1.5,1.55,0.85,0.2,1.3,0.9,2.7,2.95,2.05
28,40848.0,1.65,0.0,1.1,2.2,0.75,2.2,0.25,1.5,0.8,0.85,0.2,1.3,0.9,2.40,2.95,2.05
29,40848.0,1.65,0.0,1.1,2.2,0.75,1.55,0.75,1.5,1.55,0.85,0.2,1.3,0.9,2.7,2.95,2.05
30,40848.0,1.65,0.0,1.1,2.2,0.75,1.55,0.75,1.5,1.55,0.85,0.2,1.3,0.9,2.7,2.95,2.05
